要素名称	是否必填	填写说明
基金代码	是	产品未成立则该字段不需要填写
基金全称	是	基金全称不可重复
基金简称	是	
备案编码	否	基金在协会的备案编码
成立日期	否	产品运行状态为运行中该项必填，按日期格式填写，例：2020/3/23
备案日期	否	按日期格式填写，例：2020/3/23
到期日期	否	到期日期不固定时可不录入，固定时按日期格式填写，例：2020/3/23
清算完成日	否	产品运行状态为已清盘必填，按日期格式填写，例：2020/3/23
清算起始日	否	产品运行状态为清盘中必填，按日期格式填写，例：2020/3/23
风险等级	否	请选择“R1/R2/R3/R4/R5”
运行状态	否	请选择“立项中/发行中/募集中/产品成立/备案中/备案成功/运行中/清盘中/已清盘/成立失败/备案失败”进行填写
投资起始日	否	填写建仓日期，例：2020/3/23
基金面值	否	请选择“1/100/1000”进行填写
币种	否	请选择“人民币现钞/美元现汇/多币种/欧元现汇/港元现汇/澳元现汇/日元现汇/其他/英镑现汇/人民币”进行填写
产品类型（协会）	否	请选择“权益类、期货和衍生品类、混合类、固定收益类、私募证券投资母基金”
基金类型	否	请选择“股权投资基金/基金专户/证券公司及其子公司的资产管理计划/其他私募投资基金/私募证券投资基金/创业投资基金/信托计划/银行理财产品/其他/期货公司及其子公司的资产管理计划/保险公司及其子公司的资产管理计划/基金子公司/私募资产配置基金/保险资产计划”进行填写
管理人	是	填写管理人全称，若管理人的信息在公司管理内不存在，产品会进入待发布，待管理人在公司管理创建完毕再发布。
管理类型	否	请选择“自主管理型/顾问管理型/银行委外合作(信托通道)/券商委外合作(信托通道)/其他”进行填写
托管人	否	填写托管人全称
投资顾问	否	填写投资顾问全称，若投资顾问的信息在公司管理内不存在，产品会进入待发布，待投资顾问在公司管理创建完毕再发布。
外包机构	否	若外包估值及份额登记为同一家外包机构，只录入一条机构信息。若外包估值与份额登记非同一家，按照外包估值、份额登记的顺序录入，中间以顿号“、”分隔
产品分类	否	请根据产品分类字典填写产品分类，并设置生效时间，格式为产品一级分类-产品二级分类-产品三级分类-生效时间，如果没有产品二级或三级分类可不填写。如：资管-指数增强-2022年1月2日；资管-股票多头-三级分类-2022年10月4日;如果没有产品二级或三级分类可不填写，如：定制产品-永久
海外基金	否	请选择“否/是”进行填写
结构类型	否	请选择“普通/母子结构”进行填写
母基金代码	否	如果为母基金该字段不需要录入，如果为子基金，录入母基金的代码。
份额结构	否	请选择“不分级/分级结构”进行填写
默认分红方式	否	请选择“现金分红/红利再投资/投资者意愿/不分配”进行填写
销售经理	否	
合同变更方式	否	请选择“旧合同+补充协议/更新合同”进行填写
投资经理信息	否	按照投资经理姓名（投资经理类型)任职时间录入，投资经理类型有实际和挂名两种，多个投资经理以顿号“、”分隔。例：张三（实际）任职时间：2010-10-10至今、李四（
				挂名）任职时间：2010-10-10至2020-10-10
交易确认规则	否	填写交易确认日期，例：T+2确认
首次申购起点	否	首次申购最低金额，单位：万，请填写数字，如：100
追加起点	否	追加申购的最低金额，单位：万，请填写数字，如：100
最低持有类型	否	请选择“金额/份额“进行填写
最低持有数量	否	最低持有数量
是否封闭	否	请选择“封闭/不封闭”进行填写
封闭方式	否	请选择“全封闭/半封闭”进行填写
封闭期起始日	否	按日期格式填写，例：2020/3/23
封闭期	否	封闭期可选单位：年、月、日，例：180天；6月；2年
是否支持金额赎回	是	请选择“支持/不支持”进行填写
金额赎回方式	否	若支持金额赎回，请选择“普通金额赎回/保留指定金额赎回”进行填写；若支持多种金额赎回方式请用顿号“、”分隔。若不支持金额赎回，该项不填写
是否支持基金转换	否	请选择“支持/不支持”进行填写
基金转换方式	否	若支持基金转换，请选择“份额转换/指定金额转出”进行填写；若支持多种转换方式请用顿号“、”分隔。若不支持基金转换，该项不填写
基金转换限制	否	若支持基金转换，请选择“同一托管人并且产品开放日相同的基金”进行填写；若不支持基金转换，该项不填写
销售机构信息	否	填写销售机构名称，多个销售机构用顿号“、”分隔（名称参考sheet表销售机构及名称对应表，如果表中没有，请先在系统中添加该销售机构再导出模板进行填写）
投资目标	否	
投资范围	否	
投资策略	否	
投资限制	否	
预警线	否	按数字格式填写预警线，单位为元
止损线	否	按数字格式填写止损线，单位为元
业绩比较基准	否	请选择“业绩比较基准指数表”sheet的指数或组合基准，仅支持填写一项
投资收益分配	否	可选：不分配、管理人自主分配、基金份额净值达到(n) 其中n为数字
是否量化/对冲基金	否	请填写“量化/对冲/非量化对冲”
双录	否	请填写“普通投资者无需双录”或者“普通投资者首次购买需智能自助双录”或者“普通投资者首次购买需双向录制双录”
冷静期回访	否	请填写“合同无明确约定（普通投资者默认需要回访，专业投资者默认不需要回访）”、“合同无明确约定（普通个人投资者、专业个人投资者、普通机构投资者默认需要回访，专业机构投资者与产品投资者默认不需要回访)”、“合同约定不进行冷静期回访”
量化策略	否	是否量化/对冲基金填写为“量化”，需要填写量化策略“指数增强/量化选股/股票市场中性策略/期货及衍生品策略/宏观策略/多资产策略/对冲基金策略”
